dataset,paper_code,cohort,child_id,age,instrument,input_rate,log_input,units
fmw_2013,FMW2013,tlo,20233,18,LENA,1897.241968,7.548156514779212,adult words / hour
fmw_2013,FMW2013,tlo,20233,25,LENA,2569.272727,7.851378152238171,adult words / hour
fmw_2013,FMW2013,tlo,20236,19,LENA,876.5521333,6.775996181542857,adult words / hour
fmw_2013,FMW2013,tlo,20236,25,LENA,1059.454627,6.965509551873927,adult words / hour
fmw_2013,FMW2013,tlo,20242,17,LENA,1552.992519,7.347939006008946,adult words / hour
fmw_2013,FMW2013,tlo,20242,24,LENA,541.9742833,6.295218552527986,adult words / hour
fmw_2013,FMW2013,tlo,20251,24,LENA,1787.829721,7.488757716858337,adult words / hour
fmw_2013,FMW2013,elena,4943,18,LENA,1127.384615,7.027655729111218,adult words / hour
fmw_2013,FMW2013,elena,4943,24,LENA,1104.45287,7.0071053510579375,adult words / hour
fmw_2013,FMW2013,elena,6117,18,LENA,1739.142857,7.461147659916414,adult words / hour
fmw_2013,FMW2013,elena,6117,24,LENA,2741.715023,7.916338924378312,adult words / hour
fmw_2013,FMW2013,elena,6135,17,LENA,1613.795918,7.386344395977572,adult words / hour
fmw_2013,FMW2013,elena,6135,24,LENA,1987.176471,7.594470051391285,adult words / hour
fmw_2013,FMW2013,elena,6152,18,LENA,779.792695,6.659028108718007,adult words / hour
fmw_2013,FMW2013,elena,6152,25,LENA,1180.873292,7.0740095217031564,adult words / hour
fmw_2013,FMW2013,elena,6229,17,LENA,916.4745763,6.82053432690591,adult words / hour
fmw_2013,FMW2013,elena,6229,24,LENA,1449.333333,7.278858959342999,adult words / hour
fmw_2013,FMW2013,elena,6296,18,LENA,2109.875241,7.654384097233862,adult words / hour
fmw_2013,FMW2013,elena,6296,24,LENA,2250.562303,7.7189353764199975,adult words / hour
fmw_2013,FMW2013,elena,6316,18,LENA,1372.594876,7.2244582974062235,adult words / hour
fmw_2013,FMW2013,elena,6342,18,LENA,1016.842105,6.9244571283412695,adult words / hour
fmw_2013,FMW2013,elena,6342,24,LENA,1037.561723,6.944628742383465,adult words / hour
fmw_2013,FMW2013,elena,6356,18,LENA,2330.039917,7.753640678172656,adult words / hour
fmw_2013,FMW2013,elena,6356,24,LENA,1874.59904,7.536150070203004,adult words / hour
fmw_2013,FMW2013,elena,6357,18,LENA,1174.197409,7.068340137018896,adult words / hour
