word,sc,mid,rng,kappa,count,total_tokens,logfreq
dress,0.18213034860064456,1.483374756236049,2.5055928346484313,2.382908742746809,14972,378750562,4.175279818442385
drink,0.25086825265142,1.5491840324437993,2.3163662865446426,1.729991720407287,15991,378750562,4.203875623277334
drive,0.14831855159653,1.817867679656082,1.9684427574829382,2.926134292226689,30304,378750562,4.481499957323179
drop,0.11842178030521179,1.5958100745644663,1.4414399027006937,3.6648663690196144,18497,378750562,4.267101296559969
dry,0.21396268868705107,1.510432808492883,2.521390260643236,2.0283910370690044,56602,378750562,4.752831777011912
each,2.9328162697495417,1.8975195090767352,12.075260536640556,0.14798063024829816,188773,378750562,5.275939877729282
ear,0.31726781256553466,1.3740846283154011,3.4321562125153013,1.3679294993416744,36264,378750562,4.559475706050631
eat,0.30194039315711846,1.5005627560616268,3.0004721006369923,1.4373697916401753,53427,378750562,4.727760788631262
egg,0.14041034057164492,1.5969840730597578,3.977906566042951,3.090940440946725,19396,378750562,4.287712175443486
empty,0.1676007926820079,1.4175901251554357,1.7376990179276675,2.589486559430756,8601,378750562,3.934548947666147
every,2.4385174466116095,-0.9582024328503397,9.468304078808135,0.17797699196413605,123581,378750562,5.091951705142395
eye,0.06564427008160426,1.5219985166286663,1.9925957945577313,6.611391968567588,59649,378750562,4.775603167233145
face,0.09632011708312047,1.5930989165009315,1.2307698594509722,4.505808476389985,38565,378750562,4.586193335698542
fall,0.11815836917217928,1.552893343930563,1.692522042217182,3.673036476727088,38275,378750562,4.582915199370299
farm,0.16219994989516354,1.7121360224622615,2.341756150706278,2.6757098277805387,20677,378750562,4.315487527750822
fast,0.2036987262184601,1.7286021113781336,1.658854094115469,2.130597515541405,40820,378750562,4.610873000380051
feed,0.24234370330526864,1.6504672093134047,2.6796919189009962,1.7908449614360773,37388,378750562,4.572732234017682
find,0.5519324906229612,-0.3124632271734879,8.751360352662635,0.7863280516610792,139599,378750562,5.144882307284009
fine,0.465770965616102,1.9324482813543769,2.523506040729054,0.9317884368896273,28690,378750562,4.457730548245999
finger,0.0381890329443874,1.7453493332676542,2.0599921536359194,11.364519249073693,10165,378750562,4.007107382974057
finish,0.2660641498370799,1.5310412036047552,2.5786591010276965,1.6311855628266827,12332,378750562,4.091033516054471
first,0.7604102771024108,-0.5142582069067324,8.391089665755914,0.5707445218307453,236732,378750562,5.374256967198596
fish,0.2356506312562704,1.5000922864099548,3.154651689323744,1.841709473411189,71366,378750562,4.853491355624656
fit,0.6541526315697888,1.7014512964588933,2.135051094516596,0.6634537247958749,36542,378750562,4.562792313273601
fix,0.1248099818291871,1.6441555681051963,1.5503663180131726,3.4772859801707634,18210,378750562,4.26030994579492
flower,0.2221557769213705,1.7220042862243736,2.7021681358640146,1.9535841291834122,17198,378750562,4.235477944612951
food,0.3910031824811765,1.4829436787157293,3.5622579842039244,1.1099653901688982,169780,378750562,5.229886529245892
foot,0.23515895289993155,1.3696668999144526,1.8798040598097785,1.8455601823702725,34562,378750562,4.53859886586218
for,0.13885530875768076,0.38058209056571696,5.825112937759423,3.1255556873045616,2373389,378750562,6.375368925199206
friend,0.38909834029207196,1.3139552637832728,3.5262782660770604,1.1153992578694196,18897,378750562,4.276392863069535
game,0.09085657700282951,1.5127478521577395,1.5935314588907241,4.776759309196561,53819,378750562,4.730935623964402
garden,0.2860384006640798,1.1157779815389026,2.3248906238832365,1.5172787954079094,54998,378750562,4.740346896680485
gas,0.1625870493975508,1.569750195773113,5.1847998148795105,2.669339296137923,59577,378750562,4.775078630529771
